Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Currency Unit
BIS,EPSRC,05/09/2016,T&S UK - Public Transport,Programme Delivery Leaders,Unspecified,95302883,8.5,GBP
BIS,EPSRC,05/09/2016,T&S UK - Subsistence,Programme Delivery Leaders,Unspecified,95302883,8.5,GBP
BIS,EPSRC,05/09/2016,Financial Services,PSU Finance,Royal Bank of Scotland plc/Natwest,95303082,200,GBP
BIS,EPSRC,05/09/2016,Financial Services,PSU Finance,Royal Bank of Scotland plc/Natwest,95303972,200,GBP
BIS,EPSRC,05/09/2016,Telecoms - Calls Fax & internet Costs,PSU IS,Telecoms World Plc,95303988,16.93,GBP
BIS,EPSRC,06/09/2016,T&S UK - Accommodation,Admin RCUK Strategy Unit,Unspecified,95257713,82,GBP
BIS,EPSRC,06/09/2016,T&S UK - Subsistence,Admin RCUK Strategy Unit,Unspecified,95257713,4.35,GBP
BIS,EPSRC,06/09/2016,T&S UK - Subsistence,Admin RCUK Strategy Unit,Unspecified,95257713,20.9,GBP
BIS,EPSRC,06/09/2016,Recruitment Costs,EPSRC Corporate Services,Agenda Resource Management Ltd,95290311,97,GBP
BIS,EPSRC,06/09/2016,T&S UK - Public Transport,Programme Delivery Quantum Technology,Unspecified,95302881,8.4,GBP
BIS,EPSRC,06/09/2016,Computing Consumables,Programme Delivery Quantum Technology,Smartline International Ltd,95305721,75,GBP
BIS,EPSRC,06/09/2016,T&S UK - Public Transport,Programme Delivery Energy,Unspecified,95307205,16.65,GBP
BIS,EPSRC,06/09/2016,T&S UK - Subsistence,Programme Delivery Energy,Unspecified,95307205,10,GBP
BIS,EPSRC,06/09/2016,T&S UK - Subsistence,Programme Delivery Energy,Unspecified,95307205,21.1,GBP
BIS,EPSRC,06/09/2016,T&S UK - Mileage,Director BI/BR,Unspecified,95307207,31.05,GBP
BIS,EPSRC,07/09/2016,Agency Staff,Communications and Stakeholder Engagement,Brook Street (UK) Ltd,95209603,734.4,GBP
BIS,EPSRC,07/09/2016,Agency Staff,Communications and Stakeholder Engagement,Brook Street (UK) Ltd,95253926,617.1,GBP
BIS,EPSRC,07/09/2016,Other Programme Costs,RCUK Research,Stem Learning Ltd,95300933,63069,GBP
BIS,EPSRC,07/09/2016,Other Programme Costs,RCUK Research,Stem Learning Ltd,95300935,0.01,GBP
BIS,EPSRC,07/09/2016,Other Programme Costs,RCUK Research,Stem Learning Ltd,95300935,20226.67,GBP
BIS,EPSRC,07/09/2016,Marketing & PR,Communications and Stakeholder Engagement,Unspecified,95304009,400,GBP
BIS,EPSRC,07/09/2016,Agency Staff,Communications and Stakeholder Engagement,Brook Street (UK) Ltd,95308598,754.8,GBP
BIS,EPSRC,07/09/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95310855,160,GBP
BIS,EPSRC,07/09/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95310863,160,GBP
BIS,EPSRC,07/09/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95310864,160,GBP
BIS,EPSRC,07/09/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95310865,160,GBP
BIS,EPSRC,07/09/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95310866,160,GBP
BIS,EPSRC,08/09/2016,Agency Staff,Communications and Stakeholder Engagement,Brook Street (UK) Ltd,94575417,44.91,GBP
BIS,EPSRC,08/09/2016,Agency Staff,Communications and Stakeholder Engagement,Brook Street (UK) Ltd,94575417,721.94,GBP
BIS,EPSRC,08/09/2016,Research Grant Expenditure,Digital Economy Digital Economy,Technology Strategy Board (Innovate UK),95274931,35000,GBP
BIS,EPSRC,08/09/2016,Research Grant Expenditure,Energy Energy,Technology Strategy Board (Innovate UK),95274931,87500,GBP
BIS,EPSRC,08/09/2016,Research Grant Expenditure,Healthcare Healthcare,Technology Strategy Board (Innovate UK),95274931,35000,GBP
BIS,EPSRC,08/09/2016,Research Grant Expenditure,Manufacturing Manufacturing,Technology Strategy Board (Innovate UK),95274931,35000,GBP
BIS,EPSRC,08/09/2016,Research Grant Expenditure,NC Engineering,Technology Strategy Board (Innovate UK),95274931,35000,GBP
BIS,EPSRC,08/09/2016,Research Grant Expenditure,NC ICT,Technology Strategy Board (Innovate UK),95274931,35000,GBP
BIS,EPSRC,08/09/2016,Research Grant Expenditure,NC Physical Sciences,Technology Strategy Board (Innovate UK),95274931,87500,GBP
BIS,EPSRC,08/09/2016,Research Grant Expenditure,Digital Economy Digital Economy,Technology Strategy Board (Innovate UK),95274943,9000,GBP
BIS,EPSRC,08/09/2016,Research Grant Expenditure,Energy Energy,Technology Strategy Board (Innovate UK),95274943,22500,GBP
BIS,EPSRC,08/09/2016,Research Grant Expenditure,Healthcare Healthcare,Technology Strategy Board (Innovate UK),95274943,9000,GBP
BIS,EPSRC,08/09/2016,Research Grant Expenditure,Manufacturing Manufacturing,Technology Strategy Board (Innovate UK),95274943,9000,GBP
BIS,EPSRC,08/09/2016,Research Grant Expenditure,NC Engineering,Technology Strategy Board (Innovate UK),95274943,9000,GBP
BIS,EPSRC,08/09/2016,Research Grant Expenditure,NC ICT,Technology Strategy Board (Innovate UK),95274943,9000,GBP
BIS,EPSRC,08/09/2016,Research Grant Expenditure,NC Physical Sciences,Technology Strategy Board (Innovate UK),95274943,22500,GBP
BIS,EPSRC,08/09/2016,Consumables,JRS,PG Events Ltd,95310880,456,GBP
