Transparency Data ,,,,,,,,
,,,,,,,,
The supplier data has to be made anonymous,,,,,,,,
,,,,,,,,
Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Currency Unit
BIS,EPSRC,02/12/2016,T&S UK - Subsistence,Programme Delivery Physical Sciences,Unspecified,97746354,4.95,GBP
BIS,EPSRC,02/12/2016,T&S UK - Subsistence,Programme Delivery Physical Sciences,Unspecified,97746354,5,GBP
BIS,EPSRC,02/12/2016,T&S UK - Subsistence,Programme Delivery Physical Sciences,Unspecified,97746354,16.05,GBP
BIS,EPSRC,02/12/2016,T&S UK - Public Transport,Programme Delivery Infrastructure,Unspecified,97746355,10,GBP
BIS,EPSRC,02/12/2016,T&S Overseas - Subsistence,RCUK-Newton Activity,Unspecified,97746357,3.1,GBP
BIS,EPSRC,02/12/2016,T&S Overseas - Subsistence,RCUK-Newton Activity,Unspecified,97746357,5.99,GBP
BIS,EPSRC,02/12/2016,T&S Overseas - Subsistence,RCUK-Newton Activity,Unspecified,97746357,32.64,GBP
BIS,EPSRC,02/12/2016,T&S UK - Public Transport,Programme Delivery Engineering,Unspecified,97746358,14,GBP
BIS,EPSRC,02/12/2016,T&S UK - Subsistence,Programme Delivery Engineering,Unspecified,97746358,2.49,GBP
BIS,EPSRC,02/12/2016,T&S UK - Subsistence,Programme Delivery Engineering,Unspecified,97746358,10,GBP
BIS,EPSRC,02/12/2016,T&S UK - Subsistence,Programme Delivery Engineering,Unspecified,97746358,38,GBP
BIS,EPSRC,02/12/2016,T&S UK - Public Transport,Director RB/UR,Unspecified,97746359,36.8,GBP
BIS,EPSRC,02/12/2016,T&S UK - Subsistence,Director RB/UR,Unspecified,97746359,4.25,GBP
BIS,EPSRC,02/12/2016,T&S UK - Subsistence,Director RB/UR,Unspecified,97746359,20,GBP
BIS,EPSRC,02/12/2016,T&S UK - Subsistence,Director RB/UR,Unspecified,97746359,21.34,GBP
BIS,EPSRC,02/12/2016,T&S UK - Subsistence,Director RB/UR,Unspecified,97746359,54.63,GBP
BIS,EPSRC,02/12/2016,T&S UK - Public Transport,Strategy,Unspecified,97746360,20,GBP
BIS,EPSRC,02/12/2016,T&S UK - Subsistence,Strategy,Unspecified,97746360,4.4,GBP
BIS,EPSRC,02/12/2016,T&S UK - Subsistence,Strategy,Unspecified,97746360,5,GBP
BIS,EPSRC,02/12/2016,T&S UK - Public Transport,Programme Delivery ICT,Unspecified,97746361,6,GBP
BIS,EPSRC,02/12/2016,T&S UK - Public Transport,Programme Delivery ICT,Unspecified,97746361,10,GBP
BIS,EPSRC,02/12/2016,T&S UK - Subsistence,Programme Delivery ICT,Unspecified,97746361,7.94,GBP
BIS,EPSRC,02/12/2016,T&S UK - Subsistence,Programme Delivery ICT,Unspecified,97746361,10,GBP
BIS,EPSRC,02/12/2016,T&S UK - Subsistence,Programme Delivery ICT,Unspecified,97746361,11.7,GBP
BIS,EPSRC,02/12/2016,T&S UK - Subsistence,Programme Delivery ICT,Unspecified,97746361,26.9,GBP
BIS,EPSRC,02/12/2016,T&S UK - Public Transport,Communications and Stakeholder Engagement,Unspecified,97746363,22.8,GBP
BIS,EPSRC,02/12/2016,T&S UK - Other Charges,RCUK Executive Director,Unspecified,97746364,17.15,GBP
