Transparency Data ,,,,,,,,
,,,,,,,,
The supplier data has to be made anonymous,,,,,,,,
,,,,,,,,
Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Currency Unit
BIS,EPSRC,03/06/2016,Non-staff travel and subsistance,Programme Delivery Physical Sciences,Non Employee Expenses Supplier,94614564,33.7,GBP
BIS,EPSRC,03/06/2016,Fees (Including College Members),Programme Delivery Physical Sciences,Non Employee Expenses Supplier,94614565,160,GBP
BIS,EPSRC,03/06/2016,Non-staff travel and subsistance,Programme Delivery Physical Sciences,Non Employee Expenses Supplier,94614566,113.7,GBP
BIS,EPSRC,03/06/2016,Fees (Including College Members),Programme Delivery Physical Sciences,Non Employee Expenses Supplier,94614567,160,GBP
BIS,EPSRC,03/06/2016,Non-staff travel and subsistance,Programme Delivery Physical Sciences,Non Employee Expenses Supplier,94614568,38.8,GBP
BIS,EPSRC,03/06/2016,Fees (Including College Members),Programme Delivery Physical Sciences,Non Employee Expenses Supplier,94614569,160,GBP
BIS,EPSRC,03/06/2016,Non-staff travel and subsistance,Programme Delivery Physical Sciences,Non Employee Expenses Supplier,94614570,123.9,GBP
BIS,EPSRC,03/06/2016,Fees (Including College Members),Programme Delivery Physical Sciences,Non Employee Expenses Supplier,94614571,160,GBP
BIS,EPSRC,03/06/2016,Non-staff travel and subsistance,Programme Delivery Energy,Non Employee Expenses Supplier,94614572,226.45,GBP
BIS,EPSRC,03/06/2016,Fees (Including College Members),Programme Delivery Energy,Non Employee Expenses Supplier,94614573,160,GBP
BIS,EPSRC,03/06/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,94614574,68.4,GBP
BIS,EPSRC,03/06/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,94614575,167.6,GBP
BIS,EPSRC,03/06/2016,Non-staff travel and subsistance,Strategy,Non Employee Expenses Supplier,94614576,195.33,GBP
BIS,EPSRC,03/06/2016,Non-staff travel and subsistance,Newton Programme Delivery,Non Employee Expenses Supplier,94614577,523.45,GBP
BIS,EPSRC,03/06/2016,Non-staff travel and subsistance,Programme Delivery Physical Sciences,Non Employee Expenses Supplier,94614578,24.5,GBP
BIS,EPSRC,03/06/2016,Fees (Including College Members),Programme Delivery Physical Sciences,Non Employee Expenses Supplier,94614579,80,GBP
BIS,EPSRC,03/06/2016,Non-staff travel and subsistance,Programme Delivery Manufacturing,Non Employee Expenses Supplier,94614580,56.65,GBP
BIS,EPSRC,03/06/2016,Fees (Including College Members),Programme Delivery Manufacturing,Non Employee Expenses Supplier,94614581,160,GBP
BIS,EPSRC,03/06/2016,Other Bought In Services,RCUK Executive Director,Higher Education Funding Council for England (HEFCE),94614769,31005.25,GBP
BIS,EPSRC,03/06/2016,T&S UK - Other Charges,Programme Delivery Digital Economy,Unspecified,94614870,3.19,GBP
BIS,EPSRC,03/06/2016,T&S UK - Public Transport,Programme Delivery Digital Economy,Unspecified,94614870,39,GBP
BIS,EPSRC,03/06/2016,T&S UK - Public Transport,Programme Delivery Leaders,Unspecified,94614871,3.5,GBP
BIS,EPSRC,03/06/2016,Consumables,JRS,VWR International Ltd,94615595,115.92,GBP
BIS,EPSRC,03/06/2016,Meetings & Catering,Strategy,Calder Conference Ltd,94615603,1.2,GBP
BIS,EPSRC,03/06/2016,Meetings & Catering,Strategy,Calder Conference Ltd,94615603,27,GBP
BIS,EPSRC,03/06/2016,Meetings & Catering,Strategy,Calder Conference Ltd,94615603,42.94,GBP
BIS,EPSRC,03/06/2016,Meetings & Catering,Strategy,Calder Conference Ltd,94615603,2634,GBP
BIS,EPSRC,03/06/2016,Meetings & Catering,Strategy,Calder Conference Ltd,94615603,5428.2,GBP
BIS,EPSRC,06/06/2016,Fees (Including College Members),Programme Delivery Healthcare,V Cars Ltd,94615101,189.72,GBP
BIS,EPSRC,06/06/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),V Cars Ltd,94615101,96,GBP
BIS,EPSRC,06/06/2016,T&S Overseas - Public Transport,Communications and Stakeholder Engagement,V Cars Ltd,94615101,9.72,GBP
BIS,EPSRC,06/06/2016,T&S UK - Public Transport,Chief Executive,V Cars Ltd,94615101,55.44,GBP
BIS,EPSRC,06/06/2016,T&S UK - Public Transport,Communications and Stakeholder Engagement,V Cars Ltd,94615101,9.72,GBP
BIS,EPSRC,06/06/2016,T&S UK - Public Transport,JRS,V Cars Ltd,94615101,19.44,GBP
BIS,EPSRC,06/06/2016,T&S UK - Public Transport,Programme Delivery Healthcare,V Cars Ltd,94615101,228,GBP
BIS,EPSRC,06/06/2016,T&S UK - Public Transport,Programme Delivery Infrastructure,V Cars Ltd,94615101,16.68,GBP
BIS,EPSRC,06/06/2016,T&S UK - Public Transport,Programme Delivery Maths,V Cars Ltd,94615101,154.32,GBP
BIS,EPSRC,06/06/2016,T&S UK - Public Transport,RCUK Executive Director,V Cars Ltd,94615101,578.16,GBP
BIS,EPSRC,06/06/2016,T&S UK - Vehicle Hire,Programme Delivery Physical Sciences,V Cars Ltd,94615101,133.08,GBP
BIS,EPSRC,06/06/2016,Staff Salaries,RCUK-Newton Activity,Agenda Resource Management Ltd,94615454,97,GBP
BIS,EPSRC,06/06/2016,Other Staff Benefits,EPSRC Corporate Services,Fruitdrop Ltd,94632340,240,GBP
BIS,EPSRC,06/06/2016,Printing & Stationery,JRS,Williams Lea,94632502,331.6,GBP
BIS,EPSRC,06/06/2016,Printing & Stationery,JRS,Williams Lea,94632505,-0.01,GBP
BIS,EPSRC,06/06/2016,Printing & Stationery,JRS,Williams Lea,94632505,381.15,GBP
BIS,EPSRC,06/06/2016,Printing & Stationery,JRS,Williams Lea,94632509,338.6,GBP
BIS,EPSRC,06/06/2016,Purchase of non capital equipment,JRS,Canon/Oce (UK) Ltd (Brentwood),94642361,6120,GBP
BIS,EPSRC,06/06/2016,T&S UK - Public Transport,Programme Delivery ICT,Unspecified,94647385,17,GBP
BIS,EPSRC,06/06/2016,T&S UK - Subsistence,Programme Delivery ICT,Unspecified,94647385,10,GBP
BIS,EPSRC,06/06/2016,T&S UK - Subsistence,Programme Delivery ICT,Unspecified,94647385,24.8,GBP
BIS,EPSRC,07/06/2016,Photocopy Costs,JRS,Canon/Oce (UK) Ltd (Brentwood),94569078,1470.92,GBP
BIS,EPSRC,07/06/2016,Printing & Stationery,EPSRC Corporate Services,Banner Business Services Limited,94596484,99.12,GBP
BIS,EPSRC,07/06/2016,Printing & Stationery,EPSRC Corporate Services,Banner Business Services Limited,94596484,131.88,GBP
BIS,EPSRC,07/06/2016,Printing & Stationery,Admin RCUK Strategy Unit,Banner Business Services Limited,94596485,114.84,GBP
BIS,EPSRC,07/06/2016,Marketing & PR,Communications and Stakeholder Engagement,Impact Media Specialists Ltd,94650783,630,GBP
BIS,EPSRC,08/06/2016,Agency Staff,Programme Delivery Energy,Brook Street (UK) Ltd,94545012,563.84,GBP
BIS,EPSRC,08/06/2016,Agency Staff,Programme Delivery Energy,Brook Street (UK) Ltd,94555363,563.84,GBP
BIS,EPSRC,08/06/2016,T&S UK - Vehicle Hire,Admin Business Innovation Director,Enterprise Rent-A-Car UK Ltd,94566395,59.5,GBP
