Transparency Data ,,,,,,,,
,,,,,,,,
The supplier data has to be made anonymous,,,,,,,,
,,,,,,,,
Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Currency Unit
BIS,EPSRC,05/07/2016,T&S UK - Subsistence,Programme Delivery Energy,Unspecified,95207601,10,GBP
BIS,EPSRC,05/07/2016,T&S UK - Subsistence,Programme Delivery Energy,Unspecified,95207601,33.29,GBP
BIS,EPSRC,05/07/2016,T&S UK - Subsistence,Global Grand Challenge Fund,Unspecified,95207602,3,GBP
BIS,EPSRC,05/07/2016,T&S UK - Subsistence,Global Grand Challenge Fund,Unspecified,95207602,7.4,GBP
BIS,EPSRC,05/07/2016,T&S UK - Vehicle Hire,Global Grand Challenge Fund,Unspecified,95207602,43.4,GBP
BIS,EPSRC,05/07/2016,T&S UK - Other Charges,RCUK Executive Director,Unspecified,95207603,5.86,GBP
BIS,EPSRC,05/07/2016,T&S UK - Subsistence,RCUK Executive Director,Unspecified,95207603,15,GBP
BIS,EPSRC,05/07/2016,T&S Overseas - Public Transport,Research Careers and Diversity,Unspecified,95207604,3.3,GBP
BIS,EPSRC,05/07/2016,T&S Overseas - Subsistence,Research Careers and Diversity,Unspecified,95207604,3.99,GBP
BIS,EPSRC,05/07/2016,T&S Overseas - Subsistence,Research Careers and Diversity,Unspecified,95207604,13.85,GBP
BIS,EPSRC,05/07/2016,T&S UK - Public Transport,Programme Delivery Energy,Unspecified,95207605,51.5,GBP
BIS,EPSRC,05/07/2016,T&S UK - Subsistence,Programme Delivery Energy,Unspecified,95207605,8.49,GBP
BIS,EPSRC,06/07/2016,Recruitment Costs,EPSRC Corporate Services,Agenda Resource Management Ltd,95201100,97,GBP
BIS,EPSRC,06/07/2016,Recruitment Costs,EPSRC Corporate Services,Agenda Resource Management Ltd,95201103,33.4,GBP
BIS,EPSRC,06/07/2016,Printing & Stationery,Admin RCUK Strategy Unit,Banner Business Services Limited,95201343,11.98,GBP
BIS,EPSRC,06/07/2016,Printing & Stationery,JRS,PG Events Ltd,95204420,1044,GBP
BIS,EPSRC,06/07/2016,T&S UK - Public Transport,Admin Business Innovation Director,V Cars Ltd,95208446,70,GBP
BIS,EPSRC,06/07/2016,T&S UK - Public Transport,Programme Delivery Energy,V Cars Ltd,95208446,28.5,GBP
BIS,EPSRC,06/07/2016,T&S UK - Public Transport,Programme Delivery Maths,V Cars Ltd,95208446,53.7,GBP
BIS,EPSRC,06/07/2016,T&S UK - Public Transport,RCUK Executive Director,V Cars Ltd,95208446,130,GBP
BIS,EPSRC,06/07/2016,T&S UK - Public Transport,RCUK-Newton Activity,V Cars Ltd,95208446,220,GBP
BIS,EPSRC,06/07/2016,T&S UK - Vehicle Hire,External communications,V Cars Ltd,95208446,28.5,GBP
BIS,EPSRC,06/07/2016,T&S UK - Vehicle Hire,Programme Delivery ICT,V Cars Ltd,95208446,170,GBP
BIS,EPSRC,06/07/2016,T&S UK - Vehicle Hire,Programme Delivery Manufacturing,V Cars Ltd,95208446,150,GBP
BIS,EPSRC,06/07/2016,T&S UK - Vehicle Hire,Programme Delivery Physical Sciences,V Cars Ltd,95208446,190,GBP
BIS,EPSRC,06/07/2016,VAT Input Tax Control (for UK VAT),Balance Sheet,V Cars Ltd,95208446,208.14,GBP
BIS,EPSRC,06/07/2016,T&S UK - Vehicle Hire,Admin Business Innovation Director,Enterprise Rent-A-Car UK Ltd,95209355,119.64,GBP
BIS,EPSRC,06/07/2016,T&S UK - Vehicle Hire,Admin RCUK Strategy Unit,Enterprise Rent-A-Car UK Ltd,95209355,47.75,GBP
BIS,EPSRC,06/07/2016,T&S UK - Vehicle Hire,Programme Delivery LWEC,Enterprise Rent-A-Car UK Ltd,95209355,59.5,GBP
BIS,EPSRC,06/07/2016,T&S UK - Vehicle Hire,RCUK Executive Director,Enterprise Rent-A-Car UK Ltd,95209355,53.75,GBP
BIS,EPSRC,06/07/2016,Printing & Stationery,Admin RCUK Strategy Unit,Farnell Onecall,95209594,21.02,GBP
BIS,EPSRC,06/07/2016,Fellowships,Healthcare Healthcare,The Royal Society,95209666,20441.83,GBP
BIS,EPSRC,06/07/2016,Fellowships,NC Maths,The Royal Society,95209666,21136.12,GBP
BIS,EPSRC,06/07/2016,Fellowships,NC Physical Sciences,The Royal Society,95209666,7367.83,GBP
BIS,EPSRC,06/07/2016,Fellowships,NC Physical Sciences,The Royal Society,95209666,20636.24,GBP
BIS,EPSRC,06/07/2016,T&S UK - Public Transport,Programme Delivery Energy,Unspecified,95209789,6,GBP
BIS,EPSRC,06/07/2016,T&S UK - Public Transport,Programme Delivery Energy,Unspecified,95209789,9.5,GBP
BIS,EPSRC,06/07/2016,T&S UK - Subsistence,Programme Delivery Energy,Unspecified,95209789,10,GBP
BIS,EPSRC,06/07/2016,T&S UK - Subsistence,Programme Delivery Energy,Unspecified,95209789,11.25,GBP
BIS,EPSRC,06/07/2016,T&S UK - Subsistence,Programme Delivery Energy,Unspecified,95209789,29.35,GBP
BIS,EPSRC,06/07/2016,T&S UK - Other Charges,Programme Delivery Physical Sciences,Unspecified,95209790,3,GBP
BIS,EPSRC,06/07/2016,T&S UK - Public Transport,Programme Delivery Physical Sciences,Unspecified,95209790,7,GBP
BIS,EPSRC,06/07/2016,T&S UK - Subsistence,Programme Delivery Physical Sciences,Unspecified,95209790,3.99,GBP
BIS,EPSRC,06/07/2016,T&S UK - Subsistence,Programme Delivery Physical Sciences,Unspecified,95209790,5,GBP
BIS,EPSRC,06/07/2016,T&S UK - Subsistence,Programme Delivery Physical Sciences,Unspecified,95209790,10.3,GBP
