Transparency Data ,,,,,,,,
,,,,,,,,
The supplier data has to be made anonymous,,,,,,,,
,,,,,,,,
Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Currency Unit
BIS,EPSRC,03/10/2016,T&S UK - Public Transport,Programme Delivery Manufacturing,Unspecified,95565735,34,GBP
BIS,EPSRC,03/10/2016,T&S UK - Subsistence,Programme Delivery Manufacturing,Unspecified,95565735,3,GBP
BIS,EPSRC,03/10/2016,T&S UK - Subsistence,Programme Delivery Manufacturing,Unspecified,95565735,17.7,GBP
BIS,EPSRC,03/10/2016,T&S UK - Public Transport,Programme Delivery Physical Sciences,Unspecified,95565737,19,GBP
BIS,EPSRC,03/10/2016,T&S UK - Subsistence,Programme Delivery Physical Sciences,Unspecified,95565737,5,GBP
BIS,EPSRC,03/10/2016,T&S UK - Subsistence,Programme Delivery Physical Sciences,Unspecified,95565737,11.78,GBP
BIS,EPSRC,03/10/2016,T&S UK - Public Transport,Programme Delivery Energy,Unspecified,95565738,35,GBP
BIS,EPSRC,03/10/2016,T&S UK - Subsistence,Programme Delivery Energy,Unspecified,95565738,5,GBP
BIS,EPSRC,04/10/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95557713,348.16,EUR
BIS,EPSRC,04/10/2016,T&S Overseas - Other Charges,Research Careers and Diversity,Non Employee Expenses Supplier,95561716,13224.63,INR
BIS,EPSRC,04/10/2016,Meetings & Catering,Admin Peer Review and Output (excluding external panel member fees),Calder Conference Ltd,95575883,857,GBP
BIS,EPSRC,04/10/2016,Conferences & Seminars,Strategy,Calder Conference Ltd,95583715,1887.5,GBP
BIS,EPSRC,04/10/2016,T&S UK - Vehicle Hire,Admin Business Innovation Director,Enterprise Rent-A-Car UK Ltd,95614737,73.85,GBP
BIS,EPSRC,04/10/2016,T&S UK - Vehicle Hire,Programme Delivery Infrastructure,Enterprise Rent-A-Car UK Ltd,95614737,55.66,GBP
BIS,EPSRC,04/10/2016,T&S UK - Vehicle Hire,Programme Delivery Physical Sciences,Enterprise Rent-A-Car UK Ltd,95614737,68.02,GBP
BIS,EPSRC,04/10/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95614828,320,GBP
BIS,EPSRC,04/10/2016,T&S UK - Public Transport,Programme Delivery Digital Economy,Unspecified,95614882,8,GBP
BIS,EPSRC,04/10/2016,T&S UK - Subsistence,Programme Delivery Digital Economy,Unspecified,95614882,2.45,GBP
BIS,EPSRC,04/10/2016,T&S UK - Public Transport,RCUK Executive Director,Unspecified,95614883,9,GBP
BIS,EPSRC,04/10/2016,T&S UK - Subsistence,RCUK Executive Director,Unspecified,95614883,2.15,GBP
BIS,EPSRC,04/10/2016,T&S UK - Other Charges,Programme Delivery Healthcare,Unspecified,95614884,78.78,GBP
BIS,EPSRC,04/10/2016,T&S UK - Public Transport,Programme Delivery Healthcare,Unspecified,95614884,30.16,GBP
BIS,EPSRC,04/10/2016,T&S UK - Subsistence,Programme Delivery Healthcare,Unspecified,95614884,2.28,GBP
BIS,EPSRC,04/10/2016,T&S UK - Subsistence,Programme Delivery Healthcare,Unspecified,95614884,10,GBP
