Transparency Data ,,,,,,,,
,,,,,,,,
The supplier data has to be made anonymous,,,,,,,,
,,,,,,,,
Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Currency Unit
BIS,EPSRC,02/08/2016,Meetings & Catering,Admin Peer Review and Output (excluding external panel member fees),Jurys Inn Group Ltd,95263373,95,GBP
BIS,EPSRC,02/08/2016,Meetings & Catering,Admin Peer Review and Output (excluding external panel member fees),Jurys Inn Group Ltd,95263500,75,GBP
BIS,EPSRC,02/08/2016,Non-staff travel and subsistance,Programme Delivery ICT,Non Employee Expenses Supplier,95263524,484.72,GBP
BIS,EPSRC,02/08/2016,Non-staff travel and subsistance,Programme Delivery Quantum Technology,Non Employee Expenses Supplier,95263525,65.5,GBP
BIS,EPSRC,02/08/2016,Non-staff travel and subsistance,Programme Delivery Healthcare,Non Employee Expenses Supplier,95263526,36.6,GBP
BIS,EPSRC,02/08/2016,Fees (Including College Members),Programme Delivery Healthcare,Non Employee Expenses Supplier,95263527,160,GBP
BIS,EPSRC,02/08/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95263528,138.2,GBP
BIS,EPSRC,02/08/2016,Non-staff travel and subsistance,Programme Delivery Physical Sciences,Non Employee Expenses Supplier,95263529,86.4,GBP
BIS,EPSRC,02/08/2016,Fees (Including College Members),Programme Delivery Physical Sciences,Non Employee Expenses Supplier,95263530,80,GBP
BIS,EPSRC,02/08/2016,Non-staff travel and subsistance,Director RB/UR,Non Employee Expenses Supplier,95263531,129.6,GBP
BIS,EPSRC,02/08/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95263532,303.1,GBP
BIS,EPSRC,02/08/2016,T&S UK - Vehicle Hire,Admin Business Innovation Director,Enterprise Rent-A-Car UK Ltd,95263593,16.7,GBP
BIS,EPSRC,02/08/2016,T&S UK - Vehicle Hire,Admin Business Innovation Director,Enterprise Rent-A-Car UK Ltd,95263593,83.49,GBP
BIS,EPSRC,02/08/2016,T&S UK - Vehicle Hire,Admin RCUK Strategy Unit,Enterprise Rent-A-Car UK Ltd,95263593,8.44,GBP
